"submitter","file","pmid","pid","meas.tech","trial.nm","app.date"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1904,1900,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1905,1901,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1906,1902,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1907,1903,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1908,1904,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1909,1905,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1910,1906,"Wind tunnel","A 11 Aug","2021-08-11"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1911,1907,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1912,1908,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1913,1909,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1914,1910,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1915,1911,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1916,1912,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1917,1913,"Wind tunnel","B 20 Aug","2021-08-20"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1918,1914,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1919,1915,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1920,1916,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1921,1917,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1922,1918,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1923,1919,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1924,1920,"Wind tunnel","C 05 Jan","2022-01-05"
"Pedersen, Johanna","../../data-submitted/03/AU/ALFAM2_template_6_1_220317_JP_21CD22A.xlsx",1925,1921,"Wind tunnel","C 05 Jan","2022-01-05"
"Jesper Kamp","../../data-submitted/03/AU/ALFAM2_template_6_1_eGylle_JK_3.xlsx",1935,1931,"bLS","A 11 Aug","2021-08-11"
"Jesper Kamp","../../data-submitted/03/AU/ALFAM2_template_6_1_eGylle_JK_3.xlsx",1936,1932,"bLS","B 20 Aug","2021-08-20"
"Jesper Kamp","../../data-submitted/03/AU/ALFAM2_template_6_1_eGylle_JK_3.xlsx",1938,1934,"bLS","C 05 Jan","2022-01-05"
